id,classification,question,answer,video_url
1,faq_registration,주식회사 본점 이전 등기 주의사항!,입력하신 사항이 없습니다.,https://www.youtube.com/embed/hI6YBsXrETw
2,faq_registration,주택임차권 등기명령 신청할 때 주의사항,입력하신 사항이 없습니다.,https://www.youtube.com/embed/tBldZG9XFeg
3,faq_registration,감사의 임기와 중임 등기,입력하신 사항이 없습니다.,https://www.youtube.com/embed/fzmWbQK_FbE
4,faq_registration,"해산등기, 청산등기 절차가 궁금합니다.",입력하신 사항이 없습니다.,https://www.youtube.com/embed/PIL3jKjb9XU
5,faq_registration,"해산, 청산 등기에 대한 절차가 궁금하다면",입력하신 사항이 없습니다.,https://www.youtube.com/embed/CxL3g3jt0Tk
6,faq_registration,해산 간주 된 회사의 회사계속등기,입력하신 사항이 없습니다.,https://www.youtube.com/embed/pCxVtYf7DJA
7,faq_registration,상속등기 제한이 있을까요,입력하신 사항이 없습니다.,https://www.youtube.com/embed/WgfUs2gpnzU
8,faq_registration,상속등기 기간 제한이 있을까요?,입력하신 사항이 없습니다.,https://www.youtube.com/embed/WgfUs2gpnzU
9,faq_registration,등기 주의사항 중 등기를 해태한 경우 부과되는 과태료,입력하신 사항이 없습니다.,https://www.youtube.com/embed/JmCt0f7Qu5s
10,faq_registration,등기권리증 분실 시 대처방법은?,입력하신 사항이 없습니다.,https://www.youtube.com/embed/r7okfJMonwE
11,faq_registration,개인상호등기에 대해 알려주세요.,입력하신 사항이 없습니다.,https://www.youtube.com/embed/aYs6oxKLgKs
12,faq_registration,상업등기 가수금 출자전환절차가 궁금합니다.,입력하신 사항이 없습니다.,https://www.youtube.com/embed/NNPPyCtAyoE
13,faq_registration,주택임차권 등기명령 신청 시 주의해야 할 사항!,입력하신 사항이 없습니다.,https://www.youtube.com/embed/tBldZG9XFeg
14,faq_registration,확정일자와 전세권 등기의 차이점!,입력하신 사항이 없습니다.,https://www.youtube.com/embed/DI7wGXzjS7w
15,faq_registration,사회적 협동조합 설립 절차,입력하신 사항이 없습니다.,https://www.youtube.com/embed/t0VgOQW1IEE
16,faq_registration,농업인 확인서 발급 절차!,입력하신 사항이 없습니다.,https://www.youtube.com/embed/0VQMmPIA0Mc
17,faq_registration,농업회사 법인 설립절차,입력하신 사항이 없습니다.,https://www.youtube.com/embed/9mYr2rB_HBw
18,faq_registration,농업회사법인 설립절차 - 쉬운 설명,입력하신 사항이 없습니다.,https://www.youtube.com/embed/XQLYJ9MVBbQ
